seconds,perf_rapl,energy_ram,retired_instructions,ipmi,rapl_uj,rapl_uj_diff,minute,second,rapl_pw,load_avg_1minute,cpu_pct,cpu_pct_process,x_rest
2733,96.99,36.45,54029070526.0,236.0,282923703604.0,140949782.0,2.4692794,148.0,142.515946,8.14,33.0,4.2,139.01
2734,95.95,36.7,47840518897.0,242.0,283064653386.0,143701122.0,2.4859500999999997,149.0,140.949782,8.14,33.0,4.2,146.05
2735,97.77,36.67,53907646234.0,235.0,283208354508.0,154971924.0,2.50262105,150.0,143.701122,8.29,34.0,4.2,137.23000000000002
2736,105.4,37.04,61091765216.0,245.0,283363326432.0,144822612.0,2.5192868166666664,151.0,154.971924,8.29,34.0,4.2,139.6
2737,98.53,36.07,55947468324.0,249.0,283508149044.0,161741088.0,2.5359736333333336,152.0,144.822612,8.29,36.0,4.2,150.47
2738,110.0,36.55,67907275084.0,251.0,283669890132.0,145870908.0,2.552641066666667,153.0,161.741088,8.29,36.0,4.2,141.0
2739,99.3,35.14,54472829135.0,255.0,283815761040.0,142095234.0,2.569325483333333,154.0,145.870908,8.29,36.0,4.2,155.7
2740,96.56,36.16,47145509724.0,252.0,283957856274.0,129254286.0,2.5860108333333334,155.0,142.095234,8.29,36.0,4.2,155.44
2741,87.96,36.78,32886182753.0,237.0,284087110560.0,117343790.0,2.6026716666666667,156.0,129.254286,8.19,28.0,4.2,149.04000000000002
2742,79.87,35.71,28923847603.0,223.0,284204454350.0,128446987.0,2.6193517,157.0,117.34379,8.19,28.0,4.2,143.13
2743,87.32,36.29,34690569378.0,218.0,284332901337.0,144054688.0,2.6360332166666667,158.0,128.446987,8.19,23.0,4.2,130.68
2744,97.89,37.53,51790611960.0,228.0,284476956025.0,158890367.0,2.6527150333333336,159.0,144.054688,8.19,23.0,4.3,130.11
2745,107.97,37.78,63733387100.0,253.0,284635846392.0,166712688.0,2.6693943333333334,160.0,158.890367,8.49,40.0,4.3,145.03
2746,113.38,38.79,70415016920.0,260.0,284802559080.0,183399810.0,2.6860727166666667,161.0,166.712688,8.49,40.0,4.3,146.62
2747,124.69,38.14,91451712489.0,271.0,284985958890.0,189855287.0,2.702754816666667,162.0,183.39981,8.49,54.0,4.3,146.31
2748,128.94,37.44,98462023209.0,278.0,285175814177.0,194409247.0,2.7194339166666666,163.0,189.855287,8.49,54.0,4.3,149.06
2749,132.18,38.05,99349544657.0,281.0,285370223424.0,182619715.0,2.7361139333333333,164.0,194.409247,8.49,62.0,4.3,148.82
2750,124.08,37.6,88355377985.0,287.0,285552843139.0,161178605.0,2.7527933333333334,165.0,182.619715,8.49,62.0,4.3,162.92000000000002
2751,109.54,37.85,64560123988.0,276.0,285714021744.0,136254736.0,2.7694716833333337,166.0,161.178605,9.01,49.0,4.3,166.45999999999998
