timestamp,sensor,target,socket,cpu,RAPL_ENERGY_PKG,time_enabled,time_running
1692823186402,sensor,all,0,21,401673027584,124350336000,124350336000
1692823186402,sensor,all,1,38,308615839744,124350338513,124350338513
1692823187406,sensor,all,0,21,393695461376,125353677606,125353677606
1692823187406,sensor,all,1,38,285935140864,125353681110,125353681110
1692823188410,sensor,all,0,21,310059728896,126357442010,126357442010
1692823188410,sensor,all,1,38,244979859456,126357439804,126357439804
1692823189413,sensor,all,0,21,352483803136,127362004514,127362004514
1692823189413,sensor,all,1,38,227936305152,127361999384,127361999384
1692823190417,sensor,all,0,21,347689189376,128365749718,128365749718
1692823190417,sensor,all,1,38,233252585472,128365744332,128365744332
1692823191421,sensor,all,0,21,307218087936,129369066414,129369066414
1692823191421,sensor,all,1,38,233724182528,129369064324,129369064324
1692823192425,sensor,all,0,21,289113374720,130372607900,130372607900
1692823192425,sensor,all,1,38,225989885952,130372608224,130372608224
1692823193429,sensor,all,0,21,265961078784,131376590215,131376590215
1692823193429,sensor,all,1,38,219621097472,131376595046,131376595046
1692823194432,sensor,all,0,21,249680101376,132379565999,132379565999
1692823194432,sensor,all,1,38,231869251584,132379562178,132379562178
1692823195435,sensor,all,0,21,289859698688,133383375818,133383375818
1692823195435,sensor,all,1,38,248518279168,133383372766,133383372766
1692823196438,sensor,all,0,21,312512348160,134386760099,134386760099
1692823196438,sensor,all,1,38,260410703872,134386767162,134386767162
1692823197442,sensor,all,0,21,306781093888,135391560484,135391560484
1692823197442,sensor,all,1,38,254371692544,135391559635,135391559635
1692823198446,sensor,all,0,21,322169208832,136395963568,136395963568
1692823198446,sensor,all,1,38,257191575552,136395962229,136395962229
1692823199451,sensor,all,0,21,333668417536,137400082034,137400082034
1692823199451,sensor,all,1,38,270857404416,137400084009,137400084009
1692823200455,sensor,all,0,21,322055176192,138402866724,138402866724
1692823200455,sensor,all,1,38,271997730816,138402862333,138402862333
1692823201459,sensor,all,0,21,383481806848,139407541035,139407541035
1692823201459,sensor,all,1,38,304687349760,139407583312,139407583312
1692823202463,sensor,all,0,21,365247070208,140411679588,140411679588
1692823202463,sensor,all,1,38,315544043520,140411718235,140411718235
1692823203467,sensor,all,0,21,438641360896,141414242745,141414242745
1692823203467,sensor,all,1,38,308173864960,141414238877,141414238877
1692823204470,sensor,all,0,21,459524800512,142421654259,142421654259
1692823204470,sensor,all,1,38,284336062464,142421656570,142421656570
1692823205474,sensor,all,0,21,463747940352,143425468901,143425468901
1692823205474,sensor,all,1,38,314536886272,143425464581,143425464581
1692823206479,sensor,all,0,21,390594035712,144427943036,144427943036
1692823206479,sensor,all,1,38,296132542464,144427941590,144427941590
1692823207482,sensor,all,0,21,383393988608,145429967502,145429967502
1692823207482,sensor,all,1,38,268842565632,145429964870,145429964870
