seconds,perf_rapl,energy_ram,retired_instructions,igpm,voltage,current,power_factor,discard,rapl_uj,rapl_uj_diff,minute,second,rapl_pw,load_avg_1minute,cpu_pct,cpu_pct_process,x_rest
65224,42.43,,,57.57108017165279,121.97,0.33661,0.7694,0.0,163214757060.0,28647350.0,1.9697537999999999,118.0,22.782876,2.57,17.0,2.0,15.141080171652789
65225,44.02,,,68.06855414921382,121.59,0.69887,0.9791,0.0,163243404410.0,32912458.0,1.9864259,119.0,28.64735,2.57,27.0,2.0,24.04855414921382
65226,26.33,,,79.48425835122626,121.65,0.62464,0.9724,0.0,163276316868.0,20694892.0,2.0031067333333334,120.0,32.912458,2.57,27.0,2.0,53.15425835122626
65227,30.09,,,74.35403533012942,121.63,0.66858,0.9792,0.0,163297011760.0,21308240.0,2.0197924333333335,121.0,20.694892,2.57,11.0,2.0,44.26403533012942
65228,32.3,,,68.13578488276406,121.83,0.37642,0.9212,0.0,163318320000.0,23016312.0,2.0364524833333335,122.0,21.30824,2.57,11.0,2.0,35.83578488276406
65229,44.53,,,58.23541495035165,121.68,0.59554,0.9743,0.0,163341336312.0,32480040.0,2.0531251,123.0,23.016312,2.44,18.0,2.0,13.705414950351646
65230,40.06,,,53.71791592957944,121.81,0.39453,0.9613,0.0,163373816352.0,30680136.0,2.0697978666666668,124.0,32.48004,2.44,18.0,2.0,13.657915929579438
65231,19.45,,,52.089753214692024,121.87,0.39158,0.8623,0.0,163404496488.0,15885577.0,2.086473316666667,125.0,30.680136,2.44,16.0,2.0,32.63975321469202
65232,25.79,,,30.19240584684755,122.08,0.23695,0.5392,0.0,163420382065.0,15929397.0,2.103162333333333,126.0,15.885577,2.44,16.0,2.0,4.40240584684755
65233,39.17,,,39.6099383438281,121.86,0.39531,0.9486,0.0,163436311462.0,29438390.0,2.1198197666666667,127.0,15.929397,2.4,15.0,2.0,0.4399383438280964
65234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65235,38.38,,,47.44958293129539,121.8,0.52177,0.972,0.0,163499639088.0,30217008.0,2.1531763833333333,129.0,33.889236,2.4,25.0,2.0,9.069582931295386
65236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65237,54.5,,,58.112951793699146,121.82,0.43822,0.9563,0.0,163557474672.0,41114568.0,2.1865177166666667,131.0,27.618576,2.4,29.0,2.0,3.612951793699146
65238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65239,44.34,,,67.6767789750527,121.57,0.72061,0.9818,0.0,163630363632.0,35831888.0,2.2198659333333333,133.0,31.774392,2.45,36.0,2.0,23.336778975052695
65240,29.1,,,66.60403683191015,121.85,0.41109,0.9594,0.0,163666195520.0,18518218.0,2.2365412,134.0,35.831888,2.45,36.0,2.0,37.50403683191015
65241,33.76,,,59.84964744334163,121.83,0.45118,0.9583,0.0,163684713738.0,26243754.0,2.2532191666666668,135.0,18.518218,2.45,13.0,2.0,26.089647443341633
65242,32.54,,,65.10202375114632,121.64,0.63427,0.9729,0.0,163710957492.0,23989116.0,2.269900133333333,136.0,26.243754,2.45,13.0,2.0,32.56202375114632
65243,14.84,,,77.60990420265023,121.63,0.68547,0.9794,0.0,163734946608.0,12534278.0,2.28658085,137.0,23.989116,2.34,10.0,2.0,62.769904202650224
65244,20.81,,,65.52771849905632,121.77,0.53916,0.9741,0.0,163747480886.0,14241586.0,2.3032686166666663,138.0,12.534278,2.34,10.0,2.0,44.71771849905632
65245,15.67,,,68.28499151162343,121.71,0.59005,0.9766,0.0,163761722472.0,12409080.0,2.3199325833333333,139.0,14.241586,2.34,5.0,2.0,52.61499151162343
65246,28.7,,,73.7612426619408,121.6,0.68049,0.9796,0.0,163774131552.0,19352264.0,2.33660955,140.0,12.40908,2.34,5.0,2.0,45.061242661940796
65247,23.61,,,78.783649863132,121.64,0.65533,0.9769,0.0,163793483816.0,17267035.0,2.3532902833333336,141.0,19.352264,2.34,9.0,2.0,55.173649863132
65248,40.5,,,77.17472583213798,121.63,0.64068,0.9751,0.0,163810750851.0,30255503.0,2.3699723333333336,142.0,17.267035,2.34,9.0,2.0,36.67472583213798
65249,19.48,,,70.93498457229633,121.76,0.52903,0.9766,0.0,163841006354.0,14314882.0,2.3866544666666667,143.0,30.255503,2.47,15.0,2.0,51.454984572296325
65250,45.96,,,56.662609395808346,121.88,0.41702,0.9656,0.0,163855321236.0,31523532.0,2.4033341833333335,144.0,14.314882,2.47,15.0,2.0,10.702609395808345
65251,44.69,,,45.866334315933585,121.92,0.34662,0.8952,0.0,163886844768.0,35135652.0,2.4200053666666665,145.0,31.523532,2.47,27.0,2.0,1.1763343159335875
