,consumption,timestamp,exe,pid,container
383,0.0,1693268556,rcu_gp,3.0,
384,0.0,1693268556,rcu_par_gp,4.0,
385,0.0,1693268556,kworker/0:0H-kblockd,6.0,
386,0.0,1693268556,mm_percpu_wq,9.0,
387,0.0,1693268556,ksoftirqd/0,10.0,
388,0.0,1693268556,migration/0,12.0,
389,0.0,1693268556,idle_inject/0,13.0,
390,0.0,1693268556,cpuhp/0,15.0,
391,0.0,1693268556,cpuhp/1,16.0,
392,0.0,1693268556,idle_inject/1,17.0,
393,0.0,1693268556,migration/1,18.0,
394,0.0,1693268556,ksoftirqd/1,19.0,
395,0.0,1693268556,kworker/1:0H-kblockd,21.0,
396,0.0,1693268556,cpuhp/2,22.0,
397,0.0,1693268556,idle_inject/2,23.0,
398,0.0,1693268556,migration/2,24.0,
399,0.0,1693268556,ksoftirqd/2,25.0,
400,0.0,1693268556,kworker/2:0H-kblockd,27.0,
401,0.0,1693268556,cpuhp/3,28.0,
402,0.0,1693268556,idle_inject/3,29.0,
403,36866800.0,1693268558,,,
404,29312128.0,1693268558,scaphandre,1297803.0,
405,1510934.0,1693268558,htop,1026882.0,
406,1208747.0,1693268558,ilúvatar_worke,1297132.0,
407,302186.0,1693268558,irqbalance,2431.0,
408,302186.0,1693268558,perf,1297708.0,
409,302186.0,1693268558,hwpc-sensor,1297777.0,
410,0.0,1693268558,systemd,1.0,
411,0.0,1693268558,kthreadd,2.0,
412,0.0,1693268558,rcu_gp,3.0,
413,0.0,1693268558,rcu_par_gp,4.0,
414,0.0,1693268558,kworker/0:0H-kblockd,6.0,
415,0.0,1693268558,mm_percpu_wq,9.0,
416,0.0,1693268558,ksoftirqd/0,10.0,
417,0.0,1693268558,rcu_sched,11.0,
418,0.0,1693268558,migration/0,12.0,
419,0.0,1693268558,idle_inject/0,13.0,
420,0.0,1693268558,cpuhp/0,15.0,
421,0.0,1693268558,cpuhp/1,16.0,
422,0.0,1693268558,idle_inject/1,17.0,
423,0.0,1693268558,migration/1,18.0,
424,0.0,1693268558,ksoftirqd/1,19.0,
425,0.0,1693268558,kworker/1:0H-kblockd,21.0,
426,0.0,1693268558,cpuhp/2,22.0,
427,0.0,1693268558,idle_inject/2,23.0,
428,0.0,1693268558,migration/2,24.0,
429,0.0,1693268558,ksoftirqd/2,25.0,
430,0.0,1693268558,kworker/2:0H-kblockd,27.0,
431,0.0,1693268558,cpuhp/3,28.0,
432,0.0,1693268558,idle_inject/3,29.0,
433,0.0,1693268558,migration/3,30.0,
434,36682504.0,1693268560,,,
435,30154260.0,1693268560,scaphandre,1297803.0,
436,1554343.0,1693268560,htop,1026882.0,
437,1243474.0,1693268560,ilúvatar_worke,1297132.0,
438,310868.0,1693268560,rcu_sched,11.0,
439,310868.0,1693268560,kworker/5:0-events,1285017.0,
440,310868.0,1693268560,perf,1297708.0,
441,310868.0,1693268560,hwpc-sensor,1297777.0,
442,0.0,1693268560,systemd,1.0,
443,0.0,1693268560,kthreadd,2.0,
444,0.0,1693268560,rcu_gp,3.0,
445,0.0,1693268560,rcu_par_gp,4.0,
446,0.0,1693268560,kworker/0:0H-kblockd,6.0,
447,0.0,1693268560,mm_percpu_wq,9.0,
448,0.0,1693268560,ksoftirqd/0,10.0,
449,0.0,1693268560,migration/0,12.0,
450,0.0,1693268560,idle_inject/0,13.0,
451,0.0,1693268560,cpuhp/0,15.0,
452,0.0,1693268560,cpuhp/1,16.0,
453,0.0,1693268560,idle_inject/1,17.0,
454,0.0,1693268560,migration/1,18.0,
455,0.0,1693268560,ksoftirqd/1,19.0,
456,0.0,1693268560,kworker/1:0H-kblockd,21.0,
457,0.0,1693268560,cpuhp/2,22.0,
458,0.0,1693268560,idle_inject/2,23.0,
459,0.0,1693268560,migration/2,24.0,
460,0.0,1693268560,ksoftirqd/2,25.0,
461,0.0,1693268560,kworker/2:0H-kblockd,27.0,
462,0.0,1693268560,cpuhp/3,28.0,
463,0.0,1693268560,idle_inject/3,29.0,
464,0.0,1693268560,migration/3,30.0,
465,36709024.0,1693268562,,,
466,29308012.0,1693268562,scaphandre,1297803.0,
467,2960405.0,1693268562,htop,1026882.0,
468,888121.0,1693268562,ilúvatar_worke,1297132.0,
469,592081.0,1693268562,perf,1297708.0,
470,296040.0,1693268562,accounts-daemon,2757.0,
471,296040.0,1693268562,kworker/1:1-mm_percpu_wq,1287422.0,
472,296040.0,1693268562,kworker/0:0-events,1290017.0,
473,296040.0,1693268562,python3,1297127.0,
474,296040.0,1693268562,hwpc-sensor,1297777.0,
475,0.0,1693268562,systemd,1.0,
476,0.0,1693268562,kthreadd,2.0,
477,0.0,1693268562,rcu_gp,3.0,
478,0.0,1693268562,rcu_par_gp,4.0,
479,0.0,1693268562,kworker/0:0H-kblockd,6.0,
480,0.0,1693268562,mm_percpu_wq,9.0,
481,0.0,1693268562,ksoftirqd/0,10.0,
482,0.0,1693268562,rcu_sched,11.0,
483,0.0,1693268562,migration/0,12.0,
484,0.0,1693268562,idle_inject/0,13.0,
485,0.0,1693268562,cpuhp/0,15.0,
486,0.0,1693268562,cpuhp/1,16.0,
487,0.0,1693268562,idle_inject/1,17.0,
488,0.0,1693268562,migration/1,18.0,
489,0.0,1693268562,ksoftirqd/1,19.0,
490,0.0,1693268562,kworker/1:0H-kblockd,21.0,
491,0.0,1693268562,cpuhp/2,22.0,
492,0.0,1693268562,idle_inject/2,23.0,
493,0.0,1693268562,migration/2,24.0,
494,0.0,1693268562,ksoftirqd/2,25.0,
495,0.0,1693268562,kworker/2:0H-kblockd,27.0,
496,36604804.0,1693268564,,,
497,30400600.0,1693268564,scaphandre,1297803.0,
498,1551051.0,1693268564,htop,1026882.0,
499,1551051.0,1693268564,ilúvatar_worke,1297132.0,
500,310210.0,1693268564,rcu_sched,11.0,
501,310210.0,1693268564,perf,1297708.0,
502,310210.0,1693268564,hwpc-sensor,1297777.0,
503,0.0,1693268564,systemd,1.0,
504,0.0,1693268564,kthreadd,2.0,
505,0.0,1693268564,rcu_gp,3.0,
506,0.0,1693268564,rcu_par_gp,4.0,
507,0.0,1693268564,kworker/0:0H-kblockd,6.0,
508,0.0,1693268564,mm_percpu_wq,9.0,
509,0.0,1693268564,ksoftirqd/0,10.0,
510,0.0,1693268564,migration/0,12.0,
511,0.0,1693268564,idle_inject/0,13.0,
512,0.0,1693268564,cpuhp/0,15.0,
513,0.0,1693268564,cpuhp/1,16.0,
514,0.0,1693268564,idle_inject/1,17.0,
515,0.0,1693268564,migration/1,18.0,
516,0.0,1693268564,ksoftirqd/1,19.0,
517,0.0,1693268564,kworker/1:0H-kblockd,21.0,
518,0.0,1693268564,cpuhp/2,22.0,
519,0.0,1693268564,idle_inject/2,23.0,
520,0.0,1693268564,migration/2,24.0,
521,0.0,1693268564,ksoftirqd/2,25.0,
522,0.0,1693268564,kworker/2:0H-kblockd,27.0,
523,0.0,1693268564,cpuhp/3,28.0,
524,0.0,1693268564,idle_inject/3,29.0,
525,0.0,1693268564,migration/3,30.0,
526,0.0,1693268564,ksoftirqd/3,31.0,
527,36850090.0,1693268566,,,
528,30865886.0,1693268566,scaphandre,1297803.0,
529,1574790.0,1693268566,htop,1026882.0,
530,944874.0,1693268566,ilúvatar_worke,1297132.0,
531,629916.0,1693268566,perf,1297708.0,
532,0.0,1693268566,systemd,1.0,
533,0.0,1693268566,kthreadd,2.0,
534,0.0,1693268566,rcu_gp,3.0,
535,0.0,1693268566,rcu_par_gp,4.0,
536,0.0,1693268566,kworker/0:0H-kblockd,6.0,
537,0.0,1693268566,mm_percpu_wq,9.0,
538,0.0,1693268566,ksoftirqd/0,10.0,
539,0.0,1693268566,rcu_sched,11.0,
540,0.0,1693268566,migration/0,12.0,
541,0.0,1693268566,idle_inject/0,13.0,
542,0.0,1693268566,cpuhp/0,15.0,
543,0.0,1693268566,cpuhp/1,16.0,
544,0.0,1693268566,idle_inject/1,17.0,
545,0.0,1693268566,migration/1,18.0,
546,0.0,1693268566,ksoftirqd/1,19.0,
547,0.0,1693268566,kworker/1:0H-kblockd,21.0,
548,0.0,1693268566,cpuhp/2,22.0,
549,0.0,1693268566,idle_inject/2,23.0,
550,0.0,1693268566,migration/2,24.0,
551,0.0,1693268566,ksoftirqd/2,25.0,
552,0.0,1693268566,kworker/2:0H-kblockd,27.0,
553,0.0,1693268566,cpuhp/3,28.0,
554,0.0,1693268566,idle_inject/3,29.0,
555,0.0,1693268566,migration/3,30.0,
556,0.0,1693268566,ksoftirqd/3,31.0,
557,0.0,1693268566,kworker/3:0H-kblockd,33.0,
558,36595908.0,1693268568,,,
559,30191624.0,1693268568,scaphandre,1297803.0,
560,1219863.0,1693268568,htop,1026882.0,
561,914897.0,1693268568,ilúvatar_worke,1297132.0,
562,304965.0,1693268568,rcu_sched,11.0,
563,304965.0,1693268568,migration/18,120.0,
564,304965.0,1693268568,kworker/u97:2-events_power_efficient,1249904.0,
565,304965.0,1693268568,kworker/u96:2-ixgbe,1282742.0,
566,304965.0,1693268568,perf,1297708.0,
